上海台1230,#genre#
少儿科教,http://192.168.31.5:8080/hbws.php?id=hbse
少儿科教,http://192.168.31.5:8080/hbws.php?id=10516511​
文旅·公共,http://192.168.31.5:8080/hbws.php?id=hbwl
文旅·公共,http://192.168.31.5:8080/hbws.php?id=10516512​
三佳购物,http://192.168.31.5:8080/hbws.php?id=hbgw
三佳购物,http://192.168.31.5:8080/hbws.php?id=10516513


河北改,#genre#
河北卫视,http://192.168.31.5:8080/tv.php?id=hbws 
河北经济生活,http://192.168.31.5:8080/tv.php?id=hbjjsh
河北三农频道,http://192.168.31.5:8080/tv.php?id=hbsn
河北影视剧,http://192.168.31.5:8080/tv.php?id=hbysj
河北少儿科教,http://192.168.31.5:8080/tv.php?id=hbse
河北文旅·公共,http://192.168.31.5:8080/tv.php?id=hbwl
河北三佳购物,http://192.168.31.5:8080/tv.php?id=hbgw


咪视界bc,#genre#
睛彩竞技-夕颜专用, http://yp.qqqtv.top/bc/bc.php?id=%E7%9D%9B%E5%BD%A9%E7%AB%9E%E6%8A%80-%E5%86%B0%E8%8C%B6%E4%B8%93%E7%94%A8&auth=66615415
睛彩篮球-夕颜专用, http://yp.qqqtv.top/bc/bc.php?id=%E7%9D%9B%E5%BD%A9%E7%AF%AE%E7%90%83-%E5%86%B0%E8%8C%B6%E4%B8%93%E7%94%A8&auth=66615415
睛彩青少-夕颜专用, http://yp.qqqtv.top/bc/bc.php?id=%E7%9D%9B%E5%BD%A9%E9%9D%92%E5%B0%91-%E5%86%B0%E8%8C%B6%E4%B8%93%E7%94%A8&auth=66615415
睛彩广场舞-夕颜专用, http://yp.qqqtv.top/bc/bc.php?id=%E7%9D%9B%E5%BD%A9%E5%B9%BF%E5%9C%BA%E8%88%9E-%E5%86%B0%E8%8C%B6%E4%B8%93%E7%94%A8&auth=66615415
咪视界4K-1-夕颜专用, http://yp.qqqtv.top/bc/bc.php?id=%E5%92%AA%E8%A7%86%E7%95%8C4K-1-%E5%86%B0%E8%8C%B6%E4%B8%93%E7%94%A8&auth=66615415
咪视界4K-2-夕颜专用, http://yp.qqqtv.top/bc/bc.php?id=%E5%92%AA%E8%A7%86%E7%95%8C4K-2-%E5%86%B0%E8%8C%B6%E4%B8%93%E7%94%A8&auth=66615415
